HOG	OG	Gene Tree Parent Clade	Bombus_affinis	Bombus_bifarius	Bombus_pyrosoma	Bombus_terrestris
N0.HOG0000136	OG0000048	n0		LOC117216121, LOC117215412, LOC117216123, LOC117213342, LOC117213305, LOC117215265, LOC117213421, LOC117216033, LOC117215299, LOC117215301, LOC117213419, LOC117216059, LOC117216063, LOC117215273, LOC117216118, LOC117215270, LOC117215414, LOC117213409, LOC117213411, LOC117213415		
N0.HOG0000137	OG0000049	n0	LOC126923971, LOC126923972, LOC126923974, LOC126923975, LOC126923995, LOC126923967, LOC126923970, LOC126924500			LOC100651742, LOC100647752, LOC100647761, LOC125386449, LOC125386450, LOC100647647, LOC100646362, LOC100647875, LOC100647639, LOC100646243, LOC100646010
N0.HOG0000138	OG0000050	n0		LOC117216102, LOC117216101, LOC117206299, LOC117216103, LOC117216106, LOC117216140, LOC117216107, LOC117216104, LOC117216092, LOC117215030, LOC117215600, LOC117215602, LOC117212750, LOC117214137, LOC117208084, LOC117214998, LOC117214623, LOC117214620, LOC117213868		
N0.HOG0000139	OG0000051	n1	LOC126914467	LOC117208280	LOC122566981	LOC100643116
N0.HOG0000140	OG0000051	n5	LOC126914495		LOC122566978	LOC100649766
N0.HOG0000141	OG0000051	n8	LOC126923122, LOC126914471	LOC117208287	LOC122574647, LOC122566982	LOC100647160, LOC100646175
N0.HOG0000142	OG0000051	n14	LOC126914469	LOC117206697	LOC122566997	LOC100644287
N0.HOG0000143	OG0000052	n0	LOC126914696, LOC126914743, LOC126914742, LOC126926827, LOC126926826, LOC126914798, LOC126926784, LOC126914741, LOC126926792, LOC126926788, LOC126926928, LOC126927622, LOC126927417, LOC126914764, LOC126914757, LOC126914749, LOC126914754			LOC125384864
N0.HOG0000144	OG0000053	n0	LOC126921287, LOC126921288, LOC126918969, LOC126921073, LOC126921074, LOC126921075	LOC117206310	LOC122573627, LOC122573625, LOC122573626, LOC122573730, LOC122573624	LOC100648995, LOC100643678, LOC100642816, LOC100647803, LOC105666343, LOC100642936
N0.HOG0000145	OG0000054	n1	LOC126919043	LOC117206666	LOC122573895	LOC100645430
N0.HOG0000146	OG0000054	n6	LOC126918180	LOC117206717	LOC122577877	LOC100646697
N0.HOG0000147	OG0000054	n11		LOC117206572	LOC122571918	LOC100646817
N0.HOG0000148	OG0000054	n13		LOC117206650	LOC122572274	LOC100646577
N0.HOG0000149	OG0000054	n15	LOC126919044	LOC117206571		LOC100647531
N0.HOG0000150	OG0000055	n0	LOC126927819, LOC126928030, LOC126928139, LOC126927818, LOC126928505, LOC126922630, LOC126922628, LOC126922629, LOC126928252, LOC126928036, LOC126928650, LOC126928181, LOC126928290, LOC126927120, LOC126928184, LOC126928663, LOC126928205, LOC126928389			
N0.HOG0000151	OG0000056	n0		LOC117215988, LOC117215956, LOC117216000, LOC117214903, LOC117215986, LOC117215133, LOC117215121, LOC117215465, LOC117215464, LOC117213376, LOC117212657, LOC117208525, LOC117211776, LOC117215997, LOC117215101, LOC117213034, LOC117215501, LOC117215999		
N0.HOG0000152	OG0000057	n0	LOC126915198	LOC117213735, LOC117215400, LOC117213439, LOC117214132, LOC117208622, LOC117215124, LOC117213285, LOC117215478, LOC117215479, LOC117215439, LOC117214093, LOC117215437, LOC117214134, LOC117214135	LOC122568132	LOC100652039
N0.HOG0000153	OG0000058	n0	LOC126927650, LOC126927649, LOC126927644, LOC126920795, LOC126927573, LOC126916885, LOC126928090, LOC126927648, LOC126927918, LOC126928570, LOC126927574, LOC126916888	LOC117211075	LOC122576782	LOC125384618, LOC125386977, LOC105667080
N0.HOG0000154	OG0000059	n0	LOC126926387, LOC126928178, LOC126927598, LOC126927614, LOC126928293, LOC126927872, LOC126927528, LOC126928295, LOC126927618, LOC126918152, LOC126926915, LOC126918160			LOC105667160, LOC125385109, LOC105666849, LOC125387125, LOC105666506
N0.HOG0000155	OG0000060	n1	LOC126920661	LOC117207998	LOC122570525, LOC122570852	LOC105666088, LOC105666101, LOC100651043
N0.HOG0000156	OG0000060	n8	LOC126920697	LOC117207169	LOC122570853, LOC122570530	
N0.HOG0000157	OG0000060	n11	LOC126920130, LOC126920680	LOC117207171	LOC122570851	LOC100650930, LOC105666102
N0.HOG0000158	OG0000061	n1	LOC126922582	LOC117216442	LOC122574374	LOC125386218
N0.HOG0000159	OG0000061	n6	LOC126922579	LOC117216445	LOC122574293	LOC105666432
N0.HOG0000160	OG0000061	n9		LOC117216443, LOC117216440	LOC122574373, LOC122574290	LOC105666430
N0.HOG0000161	OG0000061	n13	LOC126922779	LOC117216441	LOC122574372	LOC125384632
N0.HOG0000162	OG0000062	n0		LOC117215237, LOC117215239, LOC117213203, LOC117206891, LOC117215235, LOC117206889, LOC117213204, LOC117206890, LOC117215249, LOC117216993, LOC117212837, LOC117215241, LOC117215242, LOC117213147, LOC117215252, LOC117215991, LOC117215236		
N0.HOG0000163	OG0000063	n0		LOC117213456, LOC117208612, LOC117208618, LOC117207643, LOC117215492, LOC117213201, LOC117213849, LOC117215486, LOC117208481, LOC117214090, LOC117215403, LOC117214927, LOC117208663, LOC117213462, LOC117212892, LOC117213856, LOC117214911		
N0.HOG0000164	OG0000064	n0		LOC117213361, LOC117213900, LOC117215720, LOC117215802, LOC117213432, LOC117208708, LOC117212048, LOC117212050, LOC117215473, LOC117212049, LOC117215472, LOC117212051, LOC117215666, LOC117211843, LOC117215471, LOC117215664, LOC117215474		
N0.HOG0000165	OG0000065	n1		LOC117209862	LOC122575731	
N0.HOG0000166	OG0000065	n4		LOC117209858	LOC122575728	
N0.HOG0000167	OG0000065	n5		LOC117209859	LOC122575886	
N0.HOG0000168	OG0000065	n9		LOC117209851	LOC122575748	
N0.HOG0000169	OG0000065	n10		LOC117209850	LOC122575730	
N0.HOG0000170	OG0000065	n11		LOC117209861, LOC117209766, LOC117209860	LOC122575727	
N0.HOG0000171	OG0000065	n14		LOC117209864, LOC117209767	LOC122575885	
N0.HOG0000172	OG0000066	n0			LOC122577442, LOC122577433, LOC122577491, LOC122577502, LOC122577440, LOC122577435, LOC122577144, LOC122577412, LOC122577465, LOC122577461, LOC122570267, LOC122570273, LOC122577441, LOC122577387, LOC122577404, LOC122577403, LOC122577444	
N0.HOG0000173	OG0000067	n1	LOC126918939	LOC117206803	LOC122576715	LOC100644003
N0.HOG0000174	OG0000067	n6	LOC126913980	LOC117204124	LOC122567072	LOC100649765
N0.HOG0000175	OG0000067	n9	LOC126915809	LOC117214663	LOC122568072	LOC100647260
N0.HOG0000176	OG0000067	n12	LOC126918608	LOC117206521	LOC122573090	LOC100643520
N0.HOG0000177	OG0000068	n1		LOC117208212	LOC122570663	LOC100652264
N0.HOG0000178	OG0000068	n7		LOC117207544, LOC117212988, LOC117213630, LOC117209967		
N0.HOG0000179	OG0000068	n11	LOC126919651	LOC117206568	LOC122573924	
N0.HOG0000180	OG0000068	n13	LOC126917489	LOC117213256	LOC122576641	
N0.HOG0000181	OG0000069	n1	LOC126917811	LOC117213294	LOC122572632	LOC125385892, LOC100652301
N0.HOG0000182	OG0000069	n6	LOC126917814	LOC117213252		LOC125385891
N0.HOG0000183	OG0000069	n8	LOC126917812, LOC126917810	LOC117213243	LOC122572633, LOC122572634, LOC122572635	LOC100648833, LOC100648602
N0.HOG0000184	OG0000070	n0	LOC126919671, LOC126919350, LOC126928325, LOC126928326, LOC126919330	LOC117208617, LOC117208559, LOC117208615	LOC122568034, LOC122568022	LOC125385100, LOC100650065, LOC110120262, LOC125386808, LOC125384656, LOC100652265
N0.HOG0000185	OG0000071	n0	LOC126928220, LOC126928304, LOC126927411, LOC126928407, LOC126927901, LOC126921532, LOC126927459, LOC126921534, LOC126921533, LOC126928477, LOC126921540, LOC126927708, LOC126928274, LOC126928652, LOC126921541			LOC110120279
N0.HOG0000186	OG0000072	n2	LOC126924496		LOC122575790	LOC100649394
N0.HOG0000187	OG0000072	n6	LOC126923801, LOC126923802	LOC117205743		LOC100649275, LOC100649153, LOC100650628
N0.HOG0000188	OG0000072	n11		LOC117205742		LOC100644825
N0.HOG0000189	OG0000072	n12	LOC126923803	LOC117205744	LOC122575783	LOC100648955
N0.HOG0000190	OG0000073	n1		LOC117213293	LOC122576883	LOC125386760, LOC125386755, LOC125384634, LOC105666845, LOC125386613, LOC100645275, LOC125386803, LOC125386631
N0.HOG0000191	OG0000073	n10	LOC126926082	LOC117213283, LOC117214893, LOC117216222	LOC122577536	LOC105666983
N0.HOG0000192	OG0000074	n0	LOC126926077	LOC117206887	LOC122576994	LOC125386774, LOC125386704, LOC125386660, LOC125386766, LOC125386758, LOC125386762, LOC125386614, LOC125386706, LOC125386732, LOC110120155, LOC125386647, LOC125386773, LOC125386768
N0.HOG0000193	OG0000075	n5		LOC117210850	LOC122571727	LOC100643875
N0.HOG0000194	OG0000075	n7		LOC117210849		LOC100645277
N0.HOG0000195	OG0000075	n8	LOC126919289, LOC126916777, LOC126919789	LOC117210317	LOC122571724, LOC122568915	LOC105665959
N0.HOG0000196	OG0000076	n1	LOC126921275	LOC117211069, LOC117211076	LOC122573717	LOC100650413
N0.HOG0000197	OG0000076	n6		LOC117215578	LOC122573582	LOC100649868
N0.HOG0000198	OG0000076	n8	LOC126921370, LOC126924332, LOC126929034	LOC117215102	LOC122573579, LOC122572149	LOC100652216
N0.HOG0000199	OG0000077	n1	LOC126914595	LOC117213355	LOC122567232	VSP
N0.HOG0000200	OG0000077	n4	LOC126914600, LOC126914587, LOC126914589, LOC126914588, LOC126914590	LOC117207362, LOC117207343, LOC117207344	LOC122567236, LOC122566646	LOC125384944
N0.HOG0000201	OG0000078	n0	LOC126927222, LOC126927225, LOC126926823, LOC126914782, LOC126928190, LOC126926822, LOC126927672, LOC126926818, LOC126927997, LOC126926819, LOC126926820, LOC126926821			LOC125384919, LOC125385000, LOC125385006
N0.HOG0000202	OG0000079	n0	LOC126926382, LOC126926384, LOC126926385, LOC126926356	LOC117209471	LOC122577069, LOC122577096	LOC125386641, LOC100648379, LOC125386671, LOC125386674, LOC125386642, LOC125386655, LOC125386651, LOC125386684
N0.HOG0000203	OG0000080	n0		LOC117210186, LOC117209711, LOC117208305, LOC117208491, LOC117208424, LOC117216068, LOC117212767, LOC117213236, LOC117215219, LOC117215225, LOC117211769, LOC117213894, LOC117208306, LOC117211770, LOC117211220		
N0.HOG0000204	OG0000081	n0		LOC117213431	LOC122568017, LOC122570941, LOC122577518, LOC122577355, LOC122577393, LOC122576640, LOC122576655, LOC122569943, LOC122577561, LOC122566127, LOC122577098, LOC122577097, LOC122577397, LOC122577382	
N0.HOG0000205	OG0000082	n0				LOC100651509, LOC100648265, LOC100647527, LOC105666961, LOC110120153, LOC100647052, LOC100647284, LOC105667059, LOC100642508, LOC100644495, LOC105666844, LOC100642667, LOC100648303, LOC100647404, LOC100643556
N0.HOG0000206	OG0000083	n1	LOC126919786	LOC117210848	LOC122571676	LOC100645616
N0.HOG0000207	OG0000083	n5	LOC126916771	LOC117210199, LOC117209012		LOC100645198
N0.HOG0000208	OG0000083	n8	LOC126920985	LOC117211576, LOC117211539	LOC122568861, LOC122568914	LOC105665878
N0.HOG0000209	OG0000084	n0	LOC126922407, LOC126918129, LOC126922818, LOC126926031, LOC126926035, LOC126926033, LOC126926034, LOC126926378, LOC126926032, LOC126926345, LOC126928715, LOC126928713, LOC126928714	LOC117214535		
N0.HOG0000210	OG0000085	n0	LOC126914195, LOC126914197, LOC126914200, LOC126914198, LOC126914194, LOC126914228, LOC126914199	LOC117204069	LOC122567169	LOC125385048, LOC100645627, LOC125384969, LOC105667016, LOC125384970
N0.HOG0000211	OG0000086	n0	LOC126926797, LOC126926798, LOC126926803, LOC126926812, LOC126914758, LOC126928574, LOC126926795, LOC126926794, LOC126926796, LOC126927578, LOC126926799, LOC126926800, LOC126914760, LOC126916453			
N0.HOG0000212	OG0000087	n0	LOC126915094, LOC126915093, LOC126915091, LOC126915092, LOC126915392		LOC122568318, LOC122568316, LOC122568320, LOC122568319	LOC100647524, LOC125385318, LOC100647883, LOC100648003, LOC100647646
N0.HOG0000213	OG0000088	n0	LOC126922774, LOC126922775, LOC126928061, LOC126928222, LOC126928502, LOC126927814, LOC126928040, LOC126928035, LOC126922777, LOC126928251, LOC126927811	LOC117216399	LOC122574336	LOC125386943
N0.HOG0000214	OG0000089	n1	LOC126922781	LOC117216433	LOC122574287, LOC122574378	LOC125386205, LOC110119815
N0.HOG0000215	OG0000089	n9	LOC126922541	LOC117216413	LOC122574286	LOC105666417
N0.HOG0000216	OG0000089	n12		LOC117216435		LOC100649646
N0.HOG0000217	OG0000090	n1	LOC126924320, LOC126924321	LOC117205760	LOC122575381, LOC122575899, LOC122576068, LOC122576052	LOC100647913, LOC125386391
N0.HOG0000218	OG0000090	n9	LOC126924318	LOC117205769, LOC117205842	LOC122575380	LOC100648032
N0.HOG0000219	OG0000091	n1	LOC126924767	LOC117213023	LOC122570353	LOC100646641
N0.HOG0000220	OG0000091	n4	LOC126926421, LOC126926420, LOC126924946	LOC117216714, LOC117216712	LOC122570016	LOC100649281, LOC100646687, LOC100650530, LOC110119525
N0.HOG0000221	OG0000092	n0	LOC126927379, LOC126927106, LOC126928611, LOC126927107, LOC126927378, LOC126926926, LOC126927272, LOC126927377, LOC126927273, LOC126926925, LOC126926927	LOC117214764, LOC117208465	LOC122574172	
N0.HOG0000222	OG0000093	n0		LOC117208435, LOC117215309, LOC117207644, LOC117208621, LOC117213464, LOC117214918, LOC117216086, LOC117213232, LOC117215574, LOC117213222, LOC117211941, LOC117215441, LOC117212764, LOC117214915		
N0.HOG0000223	OG0000094	n1		LOC117212591	LOC122574209	
N0.HOG0000224	OG0000094	n2		LOC117214572, LOC117210335, LOC117215745, LOC117212457	LOC122577531, LOC122570137, LOC122576955, LOC122569266, LOC122566641, LOC122566100, LOC122566635, LOC122577499	
N0.HOG0000225	OG0000095	n0		LOC117213922		LOC125386049, LOC100649617, LOC100652210, LOC100650106, LOC100647448, LOC125385770, LOC125385819, LOC100651467, LOC100646970, LOC100646728, LOC100646490, LOC100646609, LOC100646849
N0.HOG0000226	OG0000096	n1	LOC126924480	LOC117208030	LOC122575676, LOC122575903	LOC100643989
N0.HOG0000227	OG0000096	n5	LOC126928756, LOC126924134	LOC117215103	LOC122575679, LOC122571700, LOC122575675	LOC125386476, LOC100643747
N0.HOG0000228	OG0000097	n1	LOC126924132	LOC117208034	LOC122575670	LOC100648345
N0.HOG0000229	OG0000097	n5	LOC126928273	LOC117211402	LOC122571372	LOC100642745
N0.HOG0000230	OG0000097	n8	LOC126924479	LOC117208048	LOC122575673, LOC122575671	LOC100649161
N0.HOG0000231	OG0000098	n1	LOC126914735	LOC117214650	LOC122566854	
N0.HOG0000232	OG0000098	n3	LOC126914708, LOC126914700	LOC117214651, LOC117214652	LOC122566847, LOC122566846, LOC122566845, LOC122577400, LOC122566843	LOC110119244
N0.HOG0000233	OG0000099	n0	LOC126916165, LOC126915293, LOC126927393, LOC126915710, LOC126915709, LOC126916564, LOC126922618, LOC126916886, LOC126916883	LOC117215809	LOC122566168	LOC100645612, LOC125384617
N0.HOG0000234	OG0000100	n0	LOC126915212	LOC117208659, LOC117216135, LOC117213457, LOC117215404, LOC117214928, LOC117215487, LOC117213306, LOC117215493, LOC117216133, LOC117214626	LOC122568134	LOC100642451
N0.HOG0000235	OG0000101	n1	LOC126918979, LOC126918978	LOC117206684	LOC122574609	LOC100649871
N0.HOG0000236	OG0000101	n6	LOC126918980	LOC117206682	LOC122574614	LOC100649441
N0.HOG0000237	OG0000101	n9	LOC126918981	LOC117206683	LOC122574619	LOC100649988
N0.HOG0000238	OG0000102	n1	LOC126923706	LOC117217230	LOC122574560	LOC100649637
N0.HOG0000239	OG0000102	n5	LOC126923038	LOC117217153	LOC122574543	LOC100647517
N0.HOG0000240	OG0000102	n8	LOC126923707	LOC117217202, LOC117217231	LOC122574997	LOC100649513
N0.HOG0000241	OG0000103	n0	LOC126923621, LOC126923620, LOC126923619, LOC126923617	LOC117205417		LOC100644737, LOC100644497, LOC100644618, LOC100644377, LOC100649711, LOC100644978, LOC100644539, LOC100648799
N0.HOG0000242	OG0000104	n1		LOC117215945	LOC122577439	LOC105667086
N0.HOG0000243	OG0000104	n4		LOC117215794	LOC122577454	LOC125386994
N0.HOG0000244	OG0000104	n6		LOC117212651	LOC122577430, LOC122577429, LOC122577396, LOC122577438, LOC122577445	LOC125386062
N0.HOG0000245	OG0000105	n1	LOC126921208	LOC117208714	LOC122573950	LOC100647350
N0.HOG0000246	OG0000105	n5	LOC126922055	LOC117208658	LOC122567765	LOC100643282
N0.HOG0000247	OG0000105	n8	LOC126929011	LOC117214933	LOC122571989	LOC100648987
N0.HOG0000248	OG0000106	n0	LOC126914352, LOC126914355, LOC126914354, LOC126914353		LOC122566565, LOC122566564, LOC122566643, LOC122566566	LOC100648706, LOC125384597, LOC100648473, LOC125384598
N0.HOG0000249	OG0000107	n0	LOC126914679	LOC117215013, LOC117215112, LOC117215010, LOC117215337, LOC117216254, LOC117214596, LOC117206298, LOC117214988, LOC117214985	LOC122566789	LOC100651482
N0.HOG0000250	OG0000108	n1	LOC126915740	LOC117213572	LOC122568092	LOC100647968
N0.HOG0000251	OG0000108	n5	LOC126915739	LOC117213601	LOC122568168	LOC100643198
N0.HOG0000252	OG0000108	n8	LOC126915406	LOC117214697	LOC122568765	LOC100643077
N0.HOG0000253	OG0000109	n0	LOC126916427	LOC117208095	LOC122565627	LOC125385029, LOC125384922, LOC125384923, LOC125384874, LOC125384924, LOC125385015, LOC125385003, LOC125387224, LOC100642399
N0.HOG0000254	OG0000110	n0	LOC126917961, LOC126917964	LOC117207576	LOC122572298	LOC100652132, LOC125385926, LOC125385910, LOC125385911, LOC125385983, LOC125385978, LOC125384639, LOC125385994
N0.HOG0000255	OG0000111	n1		LOC117210845	LOC122571662	LOC100645858
N0.HOG0000256	OG0000111	n4	LOC126919285, LOC126919783, LOC126919782	LOC117210846	LOC122569228	LOC100645399, LOC105665767
N0.HOG0000257	OG0000111	n10		LOC117211579	LOC122571658	
N0.HOG0000258	OG0000112	n1	LOC126919992	LOC117207195	LOC122571204	LOC110119539
N0.HOG0000259	OG0000112	n4	LOC126920127, LOC126920128	LOC117207222, LOC117207167, LOC117207221	LOC122570590, LOC122570593, LOC122570622	
N0.HOG0000260	OG0000113	n1	LOC126923338	LOC117208505	LOC122574831	LOC100647368
N0.HOG0000261	OG0000113	n5	LOC126923349	LOC117208503	LOC122574828	
N0.HOG0000262	OG0000113	n7	LOC126923337	LOC117208506	LOC122574830	LOC100650309, LOC100647251
N0.HOG0000263	OG0000114	n0	LOC126925918, LOC126925662	LOC117208737, LOC117208703, LOC117214888, LOC117215953, LOC117213386, LOC117213261, LOC117215983, LOC117213423	LOC122577520	LOC125386678
N0.HOG0000264	OG0000115	n0	LOC126926425	LOC117216016, LOC117216070, LOC117216013, LOC117216011, LOC117215895, LOC117213385, LOC117216037	LOC122577455, LOC122577434	LOC125386234, LOC125386749
N0.HOG0000265	OG0000116	n0		LOC117206895, LOC117206888, LOC117206033, LOC117206401, LOC117205400, LOC117206843, LOC117206839, LOC117206874, LOC117207108, LOC117206902, LOC117207107, LOC117206858		
N0.HOG0000266	OG0000117	n0		LOC117215533, LOC117215909, LOC117215889, LOC117213357, LOC117213459, LOC117213861, LOC117215469, LOC117215115, LOC117215475, LOC117210637, LOC117215197, LOC117215170		
N0.HOG0000267	OG0000118	n0		LOC117215810, LOC117215213, LOC117206221, LOC117206306, LOC117215348, LOC117216952, LOC117216180, LOC117209980, LOC117213403, LOC117213887, LOC117215271, LOC117216032		
N0.HOG0000268	OG0000119	n1	LOC126916901	LOC117208971	LOC122569716	LOC100646144
N0.HOG0000269	OG0000119	n5	LOC126919784	LOC117210883	LOC122571674	
N0.HOG0000270	OG0000119	n7	LOC126919785	LOC117210847	LOC122571668	LOC100645738
N0.HOG0000271	OG0000120	n0	LOC126917643, LOC126917633, LOC126917605	LOC117212823	LOC122569860	LOC105666978, LOC105666993, LOC125385516, LOC105666794, LOC100645510, LOC100648041
N0.HOG0000272	OG0000121	n1		LOC117205472, LOC117205509, LOC117216216, LOC117205473	LOC122568129	LOC105666830, LOC105666822
N0.HOG0000273	OG0000121	n7	LOC126915324	LOC117205474	LOC122568128	LOC100644832
N0.HOG0000274	OG0000122	n1	LOC126917076	LOC117214049	LOC122572926	LOC100646153
N0.HOG0000275	OG0000122	n5	LOC126927792	LOC117216231	LOC122568406	
N0.HOG0000276	OG0000122	n7	LOC126919514	LOC117210903	LOC122569582	LOC100648268
N0.HOG0000277	OG0000123	n1	LOC126918306	LOC117210416	LOC122577876	LOC105666645
N0.HOG0000278	OG0000123	n4	LOC126926285, LOC126918302	LOC117213014	LOC122576922, LOC122577870	LOC100647523, LOC105666644
N0.HOG0000279	OG0000124	n1	LOC126918174	LOC117206584	LOC122572426	LOC100646333
